Country,Region,Place_Name,Station_Name,WMO,Latitude,Longitude,Elevation,station_id,observation_time,air_temp,air_temp_unit,dew_point,dew_point_unit,min_temp,min_temp_unit,max_temp,max_temp_unit,temp_change,temp_change_unit,wind_indicator,wind_indicator_unit,wind_speed,wind_speed_unit,wind_direction,wind_direction_unit,pressure_sea_level,pressure_sea_level_unit,pressure_station_level,pressure_station_level_unit,pressure_change,pressure_change_unit,tendency,geopotential,geopotential_unit,height,height_unit,precipitation_indicator,precipitation3H,precipitation6H,precipitation9H,precipitation12H,precipitation15H,precipitation18H,precipitation24H,precipitation_unit,min_lowest_cloud_base,max_lowest_cloud_base,lowest_cloud_base_unit,visibility,visibility_unit,cloud_cover,cloud_cover_unit,cloud_type,cloud_amount,cloud_amount_unit,weather_phenomena,present_weather,TBO,TBO_unit,past_weather,low_cloud_direction,mid_cloud_direction,high_cloud_direction
Bahrain,15,Bahrain|Qalālī,Bahrain Intl AP,41150.0,26.266666666666666,50.65,2.0,41150,08154,34.4,Cel,27.0,Cel,,,,,,,4.0,KT,7.0,KT,10.0,deg,1004.1,hPa,,,,,,,,,,4.0,,,,,,,,,,,,12000.0,m,0,okta,,,,2.0,,,,,,,
Bangladesh,-,Feni|Ruhitia,Feni,41943.0,23.03333333333333,91.41666666666669,6.0,41943,08154,29.4,Cel,26.0,Cel,,,,,,,4.0,KT,2.0,KT,180.0,deg,1003.6,hPa,1002.9,hPa,-0.8,hPa,,,,,,0.0,,,,,,,2.0,,,,,3000.0,m,6,okta,low,3.0,okta,2.0,,,,,,,
Bangladesh,RAJ,Rangpur|Deodoba,Rangpur,41859.0,25.73333333333333,89.23333333333333,33.0,41859,08154,29.0,Cel,28.0,Cel,,,,,,,4.0,KT,0.0,KT,,,1002.9,hPa,999.3,hPa,-0.7,hPa,,,,,,0.0,,,,,,,0.0,,,,,3000.0,m,0,okta,,,,2.0,,,,,,,
Bangladesh,RAJ,Bogra|Chak Brindāban,Bogra,41883.0,24.85,89.36666666666666,18.0,41883,08154,30.6,Cel,27.0,Cel,,,,,,,4.0,KT,0.0,KT,,,1002.7,hPa,1000.7,hPa,-1.0,hPa,,,,,,0.0,,,,,,,0.0,,,,,3000.0,m,4,okta,middle,4.0,okta,2.0,,,,,,,
Bangladesh,SYL,Sylhet,Osmani,41891.0,24.9,91.88333333333334,34.0,41891,08154,30.6,Cel,28.0,Cel,,,,,,,4.0,KT,3.0,KT,270.0,deg,1003.2,hPa,999.4,hPa,-0.5,hPa,,,,,,0.0,,,,,,,0.5,,,,,3000.0,m,0,okta,,,,1.0,5.0,3.0,h,2.0,,,
Bangladesh,RAJ,Ishurdi|Iswardi,Ishurdi,41907.0,24.133333333333333,89.05,13.0,41907,08154,30.0,Cel,27.0,Cel,,,,,,,4.0,KT,0.0,KT,,,1002.3,hPa,1000.8,hPa,-1.0,hPa,,,,,,0.0,,,,,,,1.8,,,,,4000.0,m,0,okta,,,,2.0,,,,,,,
Bangladesh,32,Dhaka|Dacca|Tejteri Bāzār,Tejgaon/Military,41923.0,23.766666666666666,90.38333333333334,8.0,41923,08154,30.8,Cel,26.0,Cel,,,,,,,4.0,KT,0.0,KT,,,1003.4,hPa,1002.4,hPa,-0.8,hPa,,,,,,0.0,,,,,,,0.8,,,,,4500.0,m,3,okta,middle,3.0,okta,2.0,,,,,,,
Bangladesh,46,Jessore|Mādghopa,Jessore AP,41936.0,23.183333333333334,89.16666666666667,6.0,41936,08154,30.4,Cel,26.0,Cel,,,,,,,4.0,KT,4.0,KT,130.0,deg,1002.0,hPa,1001.3,hPa,-1.1,hPa,,,,,,0.0,,,,,,,0.0,,,,,5000.0,m,3,okta,low,2.0,okta,1.0,5.0,3.0,h,2.0,,,
Bangladesh,-,Barisal|Kāgāsura,Barisal,41950.0,22.75,90.36666666666666,3.0,41950,08154,29.7,Cel,27.0,Cel,,,,,,,4.0,KT,0.0,KT,,,1002.5,hPa,1002.2,hPa,-1.7,hPa,,,,,,0.0,,,,,,,1.8,,,,,5000.0,m,2,okta,low,2.0,okta,2.0,,,,,,,
Bangladesh,BAR,Chittagong|Patenga|M.a. Hannan Intl|Kāmāl Mahājaner Hāt,Shah Amanat International AP|MA Hannan International AP|Chittagong AFB,41978.0,22.266666666666666,91.81666666666666,4.0,41978,08154,30.0,Cel,26.0,Cel,,,,,,,4.0,KT,4.0,KT,130.0,deg,1004.0,hPa,1003.4,hPa,-0.9,hPa,,,,,,0.0,,,,,,,1.0,,,,,9000.0,m,4,okta,low,2.0,okta,2.0,,,,,,,
